Nome,Sobrenome,CPF,Nascimento,Telefone,Email,CEP,Rua,Bairro,Cidade,Estado
Adalmo','Silva Mota','69971884437','1990-10-10','81992898405','adalmosilva@mota.com','54495480','Rua Pitombeira','Barra de Jangada','Jaboatão dos Guararapés','PE',
Marcos','Aurelio','07316533005','1986-12-19','68986667557','marcos@aurelio.com','69900147','Rua dos Santos','Preventario','Rio Branco','AC',
Aridelmo','Nunes de Souza','87553456039','1993-05-20','68994062399','aridelmonunes@souza.com','69903058','Rua Salvador','Conjunto Xavier Maia','Rio Branco','AC',
Thiago André','Motta','33561010059','1998-12-16','82982204257','thiagoandre@motta.com','57073670','Quadra T','Cidade Universitária','Maceió','AL',
Tiago','Sampaio Conceicao','41298100062','2000-09-16','92982977514','tiagosamp@conceicao.com','69099373','Rua 44B','Novo Aleixo','Manaus','AM',
Gilsa','Andrade de Oliveira','42076228020','1995-04-18','96982495993','gilsandrandade@oliveira.com','68926400','Travessa Rio Xingu','Fortaleza','Santana','AP',
George','Silva Damasceno','37918180070','1989-03-17','71995098047','geosil@damasceno.com','40327075','Avenida Figueiredo','Liberdade','Salvador','BA',
Mauro Henrique','Alvarenga Paiva','94546449399','2001-11-05','85998499904','mauhen@alvapaiva.com','62690970','Rua Raimundo Nonato Ribeiro','Centro','Trairi','CE',
Monique','Alencar Casagrande','67221035016','1997-07-16','61989357130','monqalen@casagrande.com','70750554','Quadra S Bloco D','Asa Norte','Brasília','DF',
Marianne','Albuquerque','19211775000','2005-12-23','27993553403','marianne@albuquerque.com','29943760','Rua Santa Angélica','Bonsucesso','São Mateus','ES',
Ian','Morais','10728332043','1999-09-10','62982388977','ian@moorais.com','74303370','Rua C','Setor Sudoeste','Goiânia','GO',
Viviane','dos Santos','68401244013','1995-01-22','27996291529','vivianedos@santos.com','29900117','Rua A','Centro','Linhares','ES',
Juliana','Queiroz Miranda','66324578003','1988-04-18','61986589375','juliquei@miranda.com','70330060','Quadra S 102 Bloco F','Asa Azul','Brasília','DF',
Victor','Santos','73371994066','2002-06-28','85981336930','victor@santos.com','60350800','Vila Perla','Olavo Ribeiro','Fortaleza','CE',
Marcelo','de Souza','18514767097','1996-08-13','75987516230','marcelode@souza.com','42808220','Rua Seis','Gravatá','Camaçari','BA',
Karla','Andrade','53389344004','2000-04-15','96998388020','karla@andrade.com','68904809','Passagem Treze de Setembro','Novo Buritizal','Macapa','AP',
Antonio Luiz','Bismarques','68711866039','1980-12-11','92995476349','antonioluiz@bismarques.com','69075431','Rua Santo Antônio','Mauazinho','Manaus','AM',
Isabel','Campos Silva','25718627070','1999-01-26','92984327005','isacamp@silva.com','57304480','Rua Manoel Rosendo de Magalhães','Cacimbas','Arapiraca','AM',
Jackson','Santos Souza','92354144075','1997-02-16','82981328961','jksantos@lousada.com','57073713','Travessa Pajucara','Cidade Universitária','Maceió','AL',
"Felipe','Barbosa Teixeira','80882411462','1987-07-10','81995990887','febarbo@teixeira.com','54250544','Travessa Tres de Maio','Cavaleiro','Jaboatão dos Guararapés','PE';"
